,plots,Replication,trt,Day,Radial_growth
1,101,1,Bacillus,1,3.5
2,102,1,Control,1,2
3,103,1,Trichoderma,1,3.5
4,104,1,Streptomyces,1,4
5,204,2,Streptomyces,1,3
6,203,2,Trichoderma,1,3.5
7,202,2,Control,1,3
8,201,2,Bacillus,1,3
9,301,3,Bacillus,1,4
10,302,3,Streptomyces,1,3.5
11,303,3,Trichoderma,1,4
12,304,3,Control,1,3.5
13,404,4,Control,1,3
14,403,4,Streptomyces,1,4
15,402,4,Trichoderma,1,3.5
16,401,4,Bacillus,1,3.5
17,501,5,Bacillus,1,3
18,502,5,Trichoderma,1,3.5
19,503,5,Streptomyces,1,4
20,504,5,Control,1,4
1,101,1,Bacillus,2,9
2,102,1,Control,2,10
3,103,1,Trichoderma,2,9
4,104,1,Streptomyces,2,8.5
5,204,2,Streptomyces,2,8
6,203,2,Trichoderma,2,8.5
7,202,2,Control,2,9
8,201,2,Bacillus,2,8.5
9,301,3,Bacillus,2,10
10,302,3,Streptomyces,2,8.5
11,303,3,Trichoderma,2,9
12,304,3,Control,2,9
13,404,4,Control,2,9
14,403,4,Streptomyces,2,9
15,402,4,Trichoderma,2,8.5
16,401,4,Bacillus,2,9
17,501,5,Bacillus,2,9
18,502,5,Trichoderma,2,9
19,503,5,Streptomyces,2,9
20,504,5,Control,2,9
1,101,1,Bacillus,3,13.5
2,102,1,Control,3,14.5
3,103,1,Trichoderma,3,9
4,104,1,Streptomyces,3,13
5,204,2,Streptomyces,3,11.5
6,203,2,Trichoderma,3,8.5
7,202,2,Control,3,12.5
8,201,2,Bacillus,3,12.5
9,301,3,Bacillus,3,14.5
10,302,3,Streptomyces,3,11.5
11,303,3,Trichoderma,3,9
12,304,3,Control,3,12.5
13,404,4,Control,3,11.5
14,403,4,Streptomyces,3,12
15,402,4,Trichoderma,3,8.5
16,401,4,Bacillus,3,13.5
17,501,5,Bacillus,3,12.5
18,502,5,Trichoderma,3,9
19,503,5,Streptomyces,3,11.5
20,504,5,Control,3,14
1,101,1,Bacillus,4,15.5
2,102,1,Control,4,19
3,103,1,Trichoderma,4,0
4,104,1,Streptomyces,4,16
5,204,2,Streptomyces,4,14
6,203,2,Trichoderma,4,0
7,202,2,Control,4,22.5
8,201,2,Bacillus,4,15
9,301,3,Bacillus,4,16.5
10,302,3,Streptomyces,4,15
11,303,3,Trichoderma,4,0
12,304,3,Control,4,17.5
13,404,4,Control,4,17
14,403,4,Streptomyces,4,13
15,402,4,Trichoderma,4,0
16,401,4,Bacillus,4,16
17,501,5,Bacillus,4,15.5
18,502,5,Trichoderma,4,0
19,503,5,Streptomyces,4,15.5
20,504,5,Control,4,19
1,101,1,Bacillus,5,18.5
2,102,1,Control,5,25.5
3,103,1,Trichoderma,5,0
4,104,1,Streptomyces,5,18
5,204,2,Streptomyces,5,14
6,203,2,Trichoderma,5,0
7,202,2,Control,5,27.5
8,201,2,Bacillus,5,18.5
9,301,3,Bacillus,5,20
10,302,3,Streptomyces,5,19
11,303,3,Trichoderma,5,0
12,304,3,Control,5,23.5
13,404,4,Control,5,23
14,403,4,Streptomyces,5,16
15,402,4,Trichoderma,5,0
16,401,4,Bacillus,5,19.5
17,501,5,Bacillus,5,19.5
18,502,5,Trichoderma,5,0
19,503,5,Streptomyces,5,18
20,504,5,Control,5,24
1,101,1,Bacillus,6,20.5
2,102,1,Control,6,30
3,103,1,Trichoderma,6,0
4,104,1,Streptomyces,6,19
5,204,2,Streptomyces,6,18
6,203,2,Trichoderma,6,0
7,202,2,Control,6,32.5
8,201,2,Bacillus,6,20.5
9,301,3,Bacillus,6,21
10,302,3,Streptomyces,6,19
11,303,3,Trichoderma,6,0
12,304,3,Control,6,27.5
13,404,4,Control,6,27
14,403,4,Streptomyces,6,19
15,402,4,Trichoderma,6,0
16,401,4,Bacillus,6,20
17,501,5,Bacillus,6,20
18,502,5,Trichoderma,6,0
19,503,5,Streptomyces,6,18
20,504,5,Control,6,28.5
1,101,1,Bacillus,7,20.5
2,102,1,Control,7,35
3,103,1,Trichoderma,7,0
4,104,1,Streptomyces,7,0
5,204,2,Streptomyces,7,0
6,203,2,Trichoderma,7,0
7,202,2,Control,7,35
8,201,2,Bacillus,7,21
9,301,3,Bacillus,7,21
10,302,3,Streptomyces,7,0
11,303,3,Trichoderma,7,0
12,304,3,Control,7,33
13,404,4,Control,7,32.5
14,403,4,Streptomyces,7,0
15,402,4,Trichoderma,7,0
16,401,4,Bacillus,7,21
17,501,5,Bacillus,7,21
18,502,5,Trichoderma,7,0
19,503,5,Streptomyces,7,0
20,504,5,Control,7,34
