Block,Treatment,Week,Severity,Incidence
1,1,8,1,5
1,2,8,1,5
1,3,8,1,5
1,4,8,1,5
1,5,8,2,15
1,6,8,1,5
2,1,8,1,15
2,2,8,1,5
2,3,8,5,75
2,4,8,1,5
2,5,8,1,5
2,6,8,1,5
3,1,8,5,35
3,2,8,5,75
3,3,8,5,75
3,4,8,5,5
3,5,8,2,15
3,6,8,5,75
1,1,10,2,15
1,2,10,1,5
1,3,10,1,5
1,4,10,3,25
1,5,10,2,15
1,6,10,1,5
2,1,10,2,15
2,2,10,5,75
2,3,10,5,75
2,4,10,1,5
2,5,10,1,5
2,6,10,1,5
3,1,10,5,75
3,2,10,5,75
3,3,10,5,75
3,4,10,1,5
3,5,10,2,75
3,6,10,5,75
1,1,12,5,75
1,2,12,1,5
1,3,12,5,75
1,4,12,4,35
1,5,12,2,15
1,6,12,5,75
2,1,12,5,75
2,2,12,5,75
2,3,12,5,75
2,4,12,5,75
2,5,12,1,5
2,6,12,5,75
3,1,12,5,75
3,2,12,5,75
3,3,12,5,75
3,4,12,5,75
3,5,12,5,75
3,6,12,5,75
