Day,Block,Treatment,Diameter ,Radial
3,1,1,28,11.5
3,1,2,18,6.5
3,1,3,12,3.5
3,1,4,30,12.5
3,1,5,7,1
3,1,1,23,9
3,1,2,27,11
3,1,3,5,0
3,1,4,25,10
3,1,5,8,1.5
3,1,1,25,10
3,1,2,18,6.5
3,1,3,5.5,0.25
3,1,4,29,12
3,1,5,8.5,1.75
3,2,1,27,11
3,2,2,27.5,11.25
3,2,3,25,5
3,2,4,31,13
3,2,5,7,1
3,2,1,25,10
3,2,2,22,8.5
3,2,3,8,1.5
3,2,4,28,11.5
3,2,5,7,1
3,2,1,21,8
3,2,2,27,11
3,2,3,5,0
3,2,4,31,13
3,2,5,7.5,1.25
3,3,1,28,11.5
3,3,2,21,8
3,3,3,17,6
3,3,4,28,11.5
3,3,5,6,0.5
3,3,1,26,10.5
3,3,2,23,9
3,3,3,9,2
3,3,4,29,12
3,3,5,8,1.5
3,3,1,25,10
3,3,2,13,4
3,3,3,7,1
3,3,4,28,11.5
3,3,5,5,0
6,1,1,35,17.5
6,1,2,17,8.5
6,1,3,30,15
6,1,4,48,24
6,1,5,15,7.5
6,1,1,32,16
6,1,2,23,11.5
6,1,3,0,0
6,1,4,41,20.5
6,1,5,17,8.5
6,1,1,35,17.5
6,1,2,21,10.6
6,1,3,1,0.5
6,1,4,40,20
6,1,5,21,10.5
6,2,1,38,19
6,2,2,25,12.5
6,2,3,17,8.5
6,2,4,43,21.5
6,2,5,17,8.5
6,2,1,40,20
6,2,2,40,20
6,2,3,26,13
6,2,4,43,21.5
6,2,5,23,11.5
6,2,1,36,18
6,2,2,43,21.5
6,2,3,1,0.5
6,2,4,46,23
6,2,5,16,8
6,3,1,25,12.5
6,3,2,24,12
6,3,3,30,15
6,3,4,36,18
6,3,5,5,2.5
6,3,1,45,22.5
6,3,2,40,20
6,3,3,25,12.5
6,3,4,57,28.5
6,3,5,15,7.5
6,3,1,35,17.5
6,3,2,34,17
6,3,3,15,7.5
6,3,4,45,22.5
6,3,5,19,9.5
9,1,1,40,20
9,1,2,36,18
9,1,3,25,12.5
9,1,4,50,25
9,1,5,25,12.5
9,1,1,35,17.5
9,1,2,25,12.5
9,1,3,0,0
9,1,4,41,20.5
9,1,5,31,15.5
9,1,1,35,17.5
9,1,2,21,10.5
9,1,3,1,0.5
9,1,4,43,21.5
9,1,5,21,10.5
9,2,1,42,21
9,2,2,25,12.5
9,2,3,21,10.5
9,2,4,45,22.5
9,2,5,25,12.5
9,2,1,40,20
9,2,2,40,20
9,2,3,28,14
9,2,4,55,27.5
9,2,5,17,8.5
9,2,1,50,25
9,2,2,50,25
9,2,3,1,0.5
9,2,4,56,28
9,2,5,25,12.5
9,3,1,25,12.5
9,3,2,25,12.5
9,3,3,30,15
9,3,4,36,18
9,3,5,6,3
9,3,1,50,25
9,3,2,40,20
9,3,3,35,17.5
9,3,4,60,30
9,3,5,15,7.5
9,3,1,40,20
9,3,2,35,17.5
9,3,3,15,7.5
9,3,4,45,22.5
9,3,5,32,16
